"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","307900","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","310715","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","313488","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","316034","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700456","1.1.1.1","317630","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food and non-alcoholic beverages","Dollars","81","millions","6","v62700457","1.1.1.2","27753","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food and non-alcoholic beverages","Dollars","81","millions","6","v62700457","1.1.1.2","27793","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food and non-alcoholic beverages","Dollars","81","millions","6","v62700457","1.1.1.2","27911","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food and non-alcoholic beverages","Dollars","81","millions","6","v62700457","1.1.1.2","28208","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food and non-alcoholic beverages","Dollars","81","millions","6","v62700457","1.1.1.2","28561","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food","Dollars","81","millions","6","v62700458","1.1.1.3","24889","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food","Dollars","81","millions","6","v62700458","1.1.1.3","24888","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food","Dollars","81","millions","6","v62700458","1.1.1.3","25052","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food","Dollars","81","millions","6","v62700458","1.1.1.3","25342","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Food","Dollars","81","millions","6","v62700458","1.1.1.3","25652","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Non-alcoholic beverages","Dollars","81","millions","6","v62700459","1.1.1.4","2864","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Non-alcoholic beverages","Dollars","81","millions","6","v62700459","1.1.1.4","2905","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Non-alcoholic beverages","Dollars","81","millions","6","v62700459","1.1.1.4","2859","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Non-alcoholic beverages","Dollars","81","millions","6","v62700459","1.1.1.4","2866","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Non-alcoholic beverages","Dollars","81","millions","6","v62700459","1.1.1.4","2909","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v62700460","1.1.1.6","11367","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v62700460","1.1.1.6","11520","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v62700460","1.1.1.6","11661","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v62700460","1.1.1.6","11829","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Alcoholic beverages, tobacco and cannabis","Dollars","81","millions","6","v62700460","1.1.1.6","11767","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Alcoholic beverages","Dollars","81","millions","6","v62700461","1.1.1.7","5900","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Alcoholic beverages","Dollars","81","millions","6","v62700461","1.1.1.7","5984","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Alcoholic beverages","Dollars","81","millions","6","v62700461","1.1.1.7","5966","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Alcoholic beverages","Dollars","81","millions","6","v62700461","1.1.1.7","6066","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Alcoholic beverages","Dollars","81","millions","6","v62700461","1.1.1.7","6024","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Tobacco","Dollars","81","millions","6","v62700462","1.1.1.8","4260","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Tobacco","Dollars","81","millions","6","v62700462","1.1.1.8","4313","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Tobacco","Dollars","81","millions","6","v62700462","1.1.1.8","4453","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Tobacco","Dollars","81","millions","6","v62700462","1.1.1.8","4474","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Tobacco","Dollars","81","millions","6","v62700462","1.1.1.8","4420","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1043024089","1.1.1.130","","..","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1043024089","1.1.1.130","","..","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1043024089","1.1.1.130","","..","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1043024089","1.1.1.130","","..","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cannabis products for non-medical use (licensed)","Dollars","81","millions","6","v1043024089","1.1.1.130","152","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1043024090","1.1.1.131","1207","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1043024090","1.1.1.131","1223","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1043024090","1.1.1.131","1242","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1043024090","1.1.1.131","1289","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cannabis products for non-medical use (unlicensed)","Dollars","81","millions","6","v1043024090","1.1.1.131","1171","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Clothing and footwear","Dollars","81","millions","6","v62700463","1.1.1.10","12238","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Clothing and footwear","Dollars","81","millions","6","v62700463","1.1.1.10","12259","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Clothing and footwear","Dollars","81","millions","6","v62700463","1.1.1.10","12424","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Clothing and footwear","Dollars","81","millions","6","v62700463","1.1.1.10","12597","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Clothing and footwear","Dollars","81","millions","6","v62700463","1.1.1.10","12555","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v62700464","1.1.1.11","1089","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v62700464","1.1.1.11","1113","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v62700464","1.1.1.11","1140","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v62700464","1.1.1.11","1137","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Clothing materials, other articles of clothing and clothing accessories","Dollars","81","millions","6","v62700464","1.1.1.11","1143","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Garments","Dollars","81","millions","6","v62700465","1.1.1.12","8799","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Garments","Dollars","81","millions","6","v62700465","1.1.1.12","8823","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Garments","Dollars","81","millions","6","v62700465","1.1.1.12","8932","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Garments","Dollars","81","millions","6","v62700465","1.1.1.12","9086","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Garments","Dollars","81","millions","6","v62700465","1.1.1.12","9018","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cleaning of clothing","Dollars","81","millions","6","v62700466","1.1.1.13","374","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cleaning of clothing","Dollars","81","millions","6","v62700466","1.1.1.13","378","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cleaning of clothing","Dollars","81","millions","6","v62700466","1.1.1.13","382","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Cleaning of clothing","Dollars","81","millions","6","v62700466","1.1.1.13","386","","","","0"
